id,name,thumbnail,added,likeCount,collectCount,commentCount,description,instruction,tags,fileCount,downloadCount,viewCount,remixCount,makeCount,rootCommentCount,bigCategory,smallCategory,comments
4373425,Stark Reactor Pet Plaque,https://cdn.thingiverse.com/assets/d1/1c/29/6b/06/large_display_DSC_1422.JPG,2020-05-18,3,1,0,"My cat´s name is Tony, guess based on whom

Join the pieces with superglue to avoid adding support",,"['cat', 'dog', 'ironman', 'marvel', 'plaque', 'stark', 'tony_stark']",1,118,12,0,0,0,Household,pets,
4433755,Tunze Stream 3 Slim Holder,https://cdn.thingiverse.com/assets/f3/83/43/d3/54/large_display_TunzeStream3Holder2.png,2020-06-07,3,0,1,"English:

This holder is intended to be able to attach Tunze Stream 3 pumps to the back of an aquarium that is directly against a wall.
You should have 12mm space from the pane to the wall.

Two aluminum rods (50 cm each) with an outer diameter of 8 mm are required and M4 screws (12 mm long) for attaching the magnets and the rods.
The glass thickness may be a maximum of 12mm thick.

Deutsch:
Dieser Halter ist dafür gedacht, Tunze Stream 3 Pumpen an die Rückseite eines Aquariums befestigen zu können, das direkt an einer Wand steht.
Man sollte zur Wand 12mm Platz von der Scheibe aus haben. 

Es werden zwei Alustangen mit 8 mm Außendurchmesser benötigt und M4 Schrauben (12 mm Länge) zum Befestigen der Magnete und der Stangen.
Die Glasstärke darf maximal 12mm dick sein.",,[],2,128,13,0,0,1,Household,pets,"Hallo
 Ich benutze selbst Streamer 3+ und gerne druecke ich deine Projekt aus. Kannst du mir kuerze Film drehen wie das alles befestigt wird?
whatstup email egal.
Danke voraus
MIroslaw"
4720840,Omega Paw Littler Box Handle,https://cdn.thingiverse.com/assets/6f/c3/88/4a/af/large_display_Litter_Box_Handle_v5.png,2021-01-12,4,8,0,"Remixed Clip turned Handle for the Omega Paw Tilting Litterbox. Should make tipping the box easier if you have it in an unused bathtub like me. 

V4 has a retooled clip. Upon testing I found that while it did work, the clips were pretty loose on the box. V4 are designed to be more wedged on instead of clipped. V5 I added screw holes because the geometry of the box just doesn't allow it to clip permanently. So screw it!",,"['cat', 'handle', 'litter', 'litterbox']",2,148,9,0,0,0,Household,pets,
4742585,Right Side Mount Thermo hygrometer support for Lack enclosure ,https://cdn.thingiverse.com/assets/cf/21/69/f7/8f/large_display_Right_Side_Mount.png,2021-01-29,3,3,0,,,[],1,124,2,0,0,0,Household,pets,
4742968,Cat food pouch squeezer,https://cdn.thingiverse.com/assets/46/be/c9/ee/89/large_display_catpouchsqueezer.png,2021-01-30,3,1,0,"I wanted a cat pouch squeezer, like a toothpaste squeezer but for cat food. So its the below remixed by stretching the x axis. Works like a charm. 

This is a remix from https://www.thingiverse.com/thing:2753546
",,"['cat', 'catfood', 'feeding', 'pet']",1,136,21,0,0,0,Household,pets,
4716320,gamelle anti glouton,https://cdn.thingiverse.com/assets/bc/2b/eb/6b/2e/large_display_Projet_sans_titre_3.jpg,2021-01-09,3,1,0,"J'ai créé cette gamelle anti glouton pour ralentir le repas de nos amis les chiens.
Diamètre 200mm

Imprimer en PETG ",,"['gamelle', 'glouton']",1,147,9,0,0,0,Household,pets,
103832,Tetra WaterWonders Alternate Pump Cover,https://cdn.thingiverse.com/renders/25/d7/63/29/3e/IMG_20130623_182154_159_display_large.jpg,2013-06-14,3,3,0,"This is an alternate pump cover for the Tetra ""WaterWonders"" aquarium cube with more, smaller holes so that small fish and rocks don't get sucked into the pump. (Updated with internal structure so that it actually works!)",,[],1,449,1093,1,0,0,Household,pets,
100932,Portion Restrictor for Le Bistro Portion Control Feeder,https://cdn.thingiverse.com/renders/61/63/78/18/92/Screen_shot_2013-06-08_at_11.09.51_PM_display_large.jpg,2013-06-09,3,3,1,"Our cat feeder, the Le Bistro Portion Control Feeder, was overfeeding when set to the 1/4 cup setting. This restrictor fits into the base of the hopper and limits the amount portioned to the correct amount (1/4).  

Note: I've only tested this for the 1/4 cup setting.",,"['cat', 'feed', 'feeder', 'hopper', 'kitty', 'lebistro', 'le_bistro', 'pet', 'portion', 'restrictor']",2,599,1278,1,0,1,Household,pets,"I like the simplistic design. Do you happen to have a model number for the Le Bistro feeder you use? Also, do you have an stl file or even better dimensions?"
52285,Octagonal Aquarium leak repair,https://cdn.thingiverse.com/renders/7e/bd/84/0d/90/oct-rep_display_large.jpg,2013-02-20,3,1,0,"I have an octagonal aquarium which leaks.
This thing is a set of parts which can be glued over the leak with silicone. There are 8 break-out segment. I've done 3 variants because the thinner one slice with hollow walls. ",,[],5,968,1172,0,0,0,Household,pets,
106608,dog Bowl,https://cdn.thingiverse.com/renders/24/a0/e9/54/ef/Dog_Bowl_display_large.jpg,2013-06-20,3,2,1,Big dog bowl,,[],2,585,812,0,0,1,Household,pets,"where is the empty part?
"
